Hieroglyph,Gardiner,Description,Ideogram,,,,
𓂢,U+130A2,forearm with palm down and bent upper arm,negation (nj),,,,
𓂣,D42,forearm with palm down and straight upper arm,Cubit (mḥ),,,,
𓂣,U+130A3,forearm with palm down and straight upper arm,Cubit (mḥ),,,,
𓂤,D43,forearm with flail,protect (ḫwj),,,,
𓂤,U+130A4,forearm with flail,protect (ḫwj),,,,
𓂥,D44,arm with sekhem scepter,control (ḫrp),,,,
𓂥,U+130A5,arm with sekhem scepter,control (ḫrp),,,,
𓂦,D45,arm with wand,"sacred, holy, be holy (ḏsr)",,,,
𓂦,U+130A6,arm with wand,"sacred, holy, be holy (ḏsr)",,,,
𓂧,D46,hand,hand (ḏrt),,,,
𓂧,U+130A7,hand,hand (ḏrt),,,,
𓂨,D46A,liquid falling from hand,"to cense, to pour out a libation (jdj)",,,,
𓂨,U+130A8,liquid falling from hand,"dew (jdt, jꜣdt)",,,,
𓂩,D47,hand with palm up,hand (ḏrt),,,,
𓂩,U+130A9,hand with palm up,"receive (sšp, šsp)",,,,
𓂪,D48,hand without thumb,hand width (šsp),,,,
𓂪,U+130AA,hand without thumb,hand width (šsp),,,,
𓂫,D48A,hand holding egg,hand width (šsp),,,,
𓂫,U+130AB,hand holding egg,hand width (šsp),,,,
𓂬,D49,fist,"grasp (ꜣmm, ḫfꜥ)",,,,
𓂬,U+130AC,fist,"grasp (ꜣmm, ḫfꜥ)",,,,
𓂭,D50,one finger,finger (ḏbꜥ),,,,
𓂭,U+130AD,one finger,"abbreviation for 10,000 (ḏbꜥ)",,,,
𓂮,D50A,two fingers,"20,000",,,,
𓂮,U+130AE,two fingers,20000,,,,
𓂯,D50B,three fingers,"30,000",,,,
𓂯,U+130AF,three fingers,30000,,,,
𓂰,D50C,four fingers,"40,000",,,,
𓂰,U+130B0,four fingers,40000,,,,
𓂱,D50D,five fingers,"50,000",,,,
𓂱,U+130B1,five fingers,50000,,,,
𓂲,D50E,six fingers,"60,000",,,,
𓂲,U+130B2,six fingers,60000,,,,
𓂳,D50F,seven fingers,"70,000",,,,
𓂳,U+130B3,seven fingers,70000,,,,
𓂴,D50G,eight fingers,"80,000",,,,
𓂴,U+130B4,eight fingers,80000,,,,
𓂵,D50H,nine fingers,"90,000",,,,
𓂵,U+130B5,nine fingers,90000,,,,
𓂶,D50I,five fingers (row),"50,000",,,,
𓂶,U+130B6,five fingers (row),50000,,,,
𓂷,D51,one finger (horizontal),finger nail (ꜥnt),,,,
𓂷,U+130B7,one finger (horizontal),"Activities with finger: measure (ḫꜣj), take (ṯꜣj), press (dqr)",,,,
𓂸,D52,phallus,phallus (ḥnn),,,,
𓂸,U+130B8,phallus,"man-like, man (ṯꜣy)",,,,
𓂸,U+130B8,phallus,donkey (ꜥꜣ),,,,
𓂸,U+130B8,phallus,bull (kꜣ),,,,
𓂸,U+130B8,phallus,presence (bꜣḥ),,,,
𓂺,D53,phallus with emission,phallus (ḥnn),,,,
𓂺,U+130BA,phallus with emission,"man-like, man (ṯꜣy)",,,,
𓂺,U+130BA,phallus with emission,bull (kꜣ),,,,
𓂺,U+130BA,phallus with emission,presence (bꜣḥ),,,,
𓂺,U+130BA,phallus with emission,urinate (wsš),,,,
𓂻,D54,legs walking,stride (nmtt),,,,
𓂻,U+130BB,legs walking,come (jw),,,,
𓂼,D54A,hieratic legs walking,come (jw),,,,
𓂼,U+130BC,hieratic legs walking,come (jw),,,,
𓂽,D55,legs walking backwards,come (jw),,,,
𓂽,U+130BD,legs walking backwards,come (jw),,,,
𓂾,D56,leg,leg (rd),,,,
𓂾,U+130BE,leg,Gazelle (gḥs),,,,
𓂾,U+130BE,leg,"foot, part (wꜥrt)",,,,
𓂿,D57,leg with knife,mutilate (jꜣtj),,,,
𓂿,U+130BF,leg with knife,injure (nkn),,,,
𓃀,D58,foot,place (bw),,,,
𓃀,U+130C0,foot,place (bw),,,,
𓃁,D59,foot and forearm,place (bw),,,,
𓃁,U+130C1,foot and forearm,place (bw),,,,
𓃂,D60,foot under vase from which water flows,"be pure, clean (wꜥb)",,,,
𓃂,U+130C2,foot under vase from which water flows,"be pure, clean (wꜥb)",,,,
𓃃,D61,three toes oriented leftward,toe (sꜣḥ),,,,
𓃃,U+130C3,three toes oriented leftward,toe (sꜣḥ),,,,
𓃄,D62,three toes oriented rightward,toe (sꜣḥ),,,,
𓃄,U+130C4,three toes oriented rightward,toe (sꜣḥ),,,,
𓃅,D63,two toes oriented leftward,toe (sꜣḥ),,,,
𓃅,U+130C5,two toes oriented leftward,The god Sah (sꜣḥ),,,,
𓃆,D64,hand with palm down,The god Sah (sꜣḥ),,,,
𓃆,U+130C6,hand with palm down,The god Sah (sꜣḥ),,,,
𓃇,D65,Sidelock of hair,Sidelock (ḥnsqty),,,,
𓃇,U+130C7,Sidelock of hair,Sidelock (ḥnsqty),,,,
𓃈,D66,arm with reed pen,Inscribe (spẖr),,,,
𓃈,U+130C8,arm with reed pen,Inscribe (spẖr),,,,
𓃉,D67,one dot,Inscribe (spẖr),,,,
𓃉,U+130C9,one dot,Inscribe (spẖr),,,,
𓃊,D67A,two dots,Inscribe (spẖr),,,,
𓃊,U+130CA,two dots,Inscribe (spẖr),,,,
𓃋,D67B,three dots,Inscribe (spẖr),,,,
𓃋,U+130CB,three dots,Inscribe (spẖr),,,,
𓃌,D67C,four dots,Inscribe (spẖr),,,,
𓃌,U+130CC,four dots,Inscribe (spẖr),,,,
𓃍,D67D,five dots,Inscribe (spẖr),,,,
𓃍,U+130CD,five dots,Inscribe (spẖr),,,,
𓃎,D67E,six dots,Inscribe (spẖr),,,,
𓃎,U+130CE,six dots,Inscribe (spẖr),,,,
𓃏,D67F,seven dots,Inscribe (spẖr),,,,
𓃏,U+130CF,seven dots,Inscribe (spẖr),,,,
𓃐,D67G,eight dots,Inscribe (spẖr),,,,
𓃐,U+130D0,eight dots,Inscribe (spẖr),,,,
𓃑,D67H,nine dots,Inscribe (spẖr),,,,
𓃑,U+130D1,nine dots,Inscribe (spẖr),,,,
𓃒,E1,bull,Bull (kꜣ),,,,
𓃒,U+130D2,bull,Bull (kꜣ),,,,
𓃓,E2,bull charging,Bull (kꜣ),,,,
𓃓,U+130D3,bull charging,Bull (kꜣ),,,,
𓃔,E3,calf,Calf (bḥs),,,,
𓃔,U+130D4,calf,Calf (bḥs),,,,
𓃕,E4,sacred cow,Hesat (ḥsꜣt),,,,
𓃕,U+130D5,sacred cow,Hesat (ḥsꜣt),,,,
𓃖,E5,cow suckling calf,Be friendly (ꜣms),,,,
𓃖,U+130D6,cow suckling calf,Be friendly (ꜣms),,,,
𓃗,E6,horse,"Horse (ssmt, jbr)",,,,
𓃗,U+130D7,horse,"Horse (ssmt, jbr)",,,,
𓃘,E7,donkey,Donkey (ꜥꜣ),,,,
𓃘,U+130D8,donkey,Donkey (ꜥꜣ),,,,
𓃙,E8,kid,Kid (goat) (jb),,,,
𓃙,U+130D9,kid,Kid (goat) (jb),,,,
𓃚,E8A,kid jumping,Kid (goat) (jb),,,,
𓃚,U+130DA,kid jumping,Kid (goat) (jb),,,,
𓃛,E9,newborn hartebeest,Kid (goat) (jb),,,,
𓃛,U+130DB,newborn hartebeest,Kid (goat) (jb),,,,
𓃜,E9A,mature bovine lying down,Be friendly (ꜣms),,,,
𓃜,U+130DC,mature bovine lying down,Cow (jḥ),,,,
𓃜,U+130DC,mature bovine lying down,Lady (nbt) (Ptolemaic),,,,
𓃝,E10,ram,Ba-Soul (bꜣ),,,,
𓃝,U+130DD,ram,Khnum (ẖnmw),,,,
𓃞,E11,ram,Ba-Soul (bꜣ),,,,
𓃞,U+130DE,ram,Khnum (ẖnmw),,,,
𓃟,E12,pig,Pig (rrj),,,,
𓃟,U+130DF,pig,Pig (rrj),,,,
𓃠,E13,cat,Cat (mjw),,,,
𓃠,U+130E0,cat,When (ḫft-ḥr) (Ptolemaic),,,,
𓃡,E14,dog,Dog (ṯsm),,,,
𓃡,U+130E1,dog,Dog (ṯsm),,,,
𓃢,E15,lying canine,Anubis (jnpw),,,,
𓃢,U+130E2,lying canine,He Who is Privy to Secrets (A priestly title) (ḥrj-sštꜣ),,,,
𓃣,E16,lying canine on shrine,Anubis (jnpw),,,,
𓃣,U+130E3,lying canine on shrine,He Who is Privy to Secrets (A priestly title) (ḥrj-sštꜣ),,,,
𓃤,E16A,lying canine on shrine with flagellum,Anubis (jnpw),,,,
𓃤,U+130E4,lying canine on shrine with flagellum,Anubis (jnpw),,,,
𓃥,E17,jackal,"jackal, (sꜣb)",,,,
𓃥,U+130E5,jackal,"dignitary, senior (sꜣb)",,,,
𓃥,U+130E5,jackal,come (jw),,,,
𓃥,U+130E5,jackal,East (ỉꜣbtt),,,,
𓃦,E17A,jackal looking back,East (ỉꜣbtt),,,,
𓃦,U+130E6,jackal looking back,East (ỉꜣbtt),,,,
𓃧,E18,wolf on standard,Wepwawet (wpj-wꜣwt),,,,
𓃧,U+130E7,wolf on standard,Wepwawet (wpj-wꜣwt),,,,
𓃨,E19,wolf on standard with mace,Wepwawet (wpj-wꜣwt),,,,
𓃨,U+130E8,wolf on standard with mace,Wepwawet (wpj-wꜣwt),,,,
𓃩,E20,Set-animal,"Set (stẖ, stš, swty)",,,,
𓃩,U+130E9,Set-animal,"Set (stẖ, stš, swty)",,,,
𓃪,E20A,Set-animal on basket,"Set (stẖ, stš, swty)",,,,
𓃪,U+130EA,Set-animal on basket,"Set (stẖ, stš, swty)",,,,
𓃫,E21,lying Set-animal,"Set (stẖ, stš, swty)",,,,
𓃫,U+130EB,lying Set-animal,storm (nšnj),,,,
𓃬,E22,lion,lion (mꜣj),,,,
𓃬,U+130EC,lion,exclude (šnꜥ),,,,
𓃭,E23,lying lion,lion (rw),,,,
𓃭,U+130ED,lying lion,lord (nb) (Ptolemaic),,,,
𓃮,E24,panther,leopard (ꜣby),,,,
𓃮,U+130EE,panther,leopard (ꜣby),,,,
𓃯,E25,hippopotamus,Hippo (db),,,,
𓃯,U+130EF,hippopotamus,Hippo (db),,,,
𓃰,E26,elephant,"elephant (ꜣbw, ꜣb, dnhr)",,,,
𓃰,U+130F0,elephant,"elephant (ꜣbw, ꜣb, dnhr)",,,,
𓃱,E27,giraffe,"giraffe (mmj, sr)",,,,
𓃱,U+130F1,giraffe,fortell (sr),,,,
𓃲,E28,oryx,"gazelle (gḥs, mꜣ-ḥḏ)",,,,
𓃲,U+130F2,oryx,"gazelle (gḥs, mꜣ-ḥḏ)",,,,
𓃳,E28A,oryx with irrigation system,"Oryx, Ma-hedj (mꜣ-ḥḏ)",,,,
𓃳,U+130F3,oryx with irrigation system,"Oryx, Ma-hedj (mꜣ-ḥḏ)",,,,
𓃴,E29,gazelle,gazelle (gḥs),,,,
𓃴,U+130F4,gazelle,gazelle (gḥs),,,,
𓃵,E30,ibex,Ibex (njꜣw),,,,
𓃵,U+130F5,ibex,Ibex (njꜣw),,,,
𓃶,E31,goat with collar,"Noble, rank, be noble (sꜥḥ)",,,,
𓃶,U+130F6,goat with collar,"Noble, rank, be noble (sꜥḥ)",,,,
𓃷,E32,baboon,"baboon (jꜥn, ky, qnd)",,,,
𓃷,U+130F7,baboon,"baboon (jꜥn, ky, qnd)",,,,
𓃸,E33,monkey,"monkey (gjf, qnd)",,,,
𓃸,U+130F8,monkey,"monkey (gjf, qnd)",,,,
𓃹,E34,hare,Hare (wn),,,,
𓃹,U+130F9,hare,Hare (wn),,,,
𓃺,E34A,hare (low),See E34,,,,
𓃺,U+130FA,hare (low),See E34,,,,
𓃻,E36,baboon,Thoth (ḏḥwty),,,,
𓃻,U+130FB,baboon,King (nswt) (Ptolemaic),,,,
𓃻,U+130FB,baboon,"beautiful, good (nfr) (Ptolemaic)",,,,
𓃻,U+130FB,baboon,scribe (sẖꜣ) (Ptolemaic),,,,
𓃻,U+130FB,baboon,son (sꜣ) (Ptolemaic),,,,
𓃻,U+130FB,baboon,speak (ḏd) (Ptolemaic),,,,
𓃼,E37,baboon with receptacle and basket,water-clock (Clepsydra) (šbt),,,,
𓃼,U+130FC,baboon with receptacle and basket,water-clock (Clepsydra) (šbt),,,,
𓃽,E38,long-horned bull,Bull (kꜣ),,,,
𓃽,U+130FD,long-horned bull,Bull (kꜣ),,,,
𓃾,F1,ox head,0,,,,
𓃾,U+130FE,ox head,0,,,,
𓃿,F1A,bovine head,nose (fnḏ),,,,
𓃿,U+130FF,bovine head,"Front, foremost (ḫnt)",,,,
𓄀,F2,charging ox head,Bull (kꜣ),,,,
𓄀,U+13100,charging ox head,Bull (kꜣ),,,,
𓄁,F3,hippopotamus head,Moment (ꜣt),,,,
𓄁,U+13101,hippopotamus head,head (dp),,,,
𓄂,F4,forepart of lion,"Front, foremost, prow (ḥꜣt)",,,,
𓄂,U+13102,forepart of lion,"Front, foremost, prow (ḥꜣt)",,,,
𓄃,F5,hartebeest head,"wise, skilled (šsꜣ)",,,,
𓄃,U+13103,hartebeest head,"wise, skilled (šsꜣ)",,,,
𓄄,F6,forepart of hartebeest,"wise, skilled (šsꜣ)",,,,
𓄄,U+13104,forepart of hartebeest,"wise, skilled (šsꜣ)",,,,
𓄅,F7,ram head,"Terror, awe (šfyt)",,,,
𓄅,U+13105,ram head,"Terror, awe (šfyt)",,,,
𓄆,F8,forepart of ram,"Terror, awe (šfyt)",,,,
𓄆,U+13106,forepart of ram,"Terror, awe (šfyt)",,,,
𓄇,F9,leopard,Strength (pḥty),,,,
𓄇,U+13107,head,Moment (ꜣt),,,,
𓄈,F10,head and neck of animal,Throat (ḫḫ),,,,
𓄈,U+13108,head and neck of animal,know (ꜥm),,,,
𓄈,U+13108,head and neck of animal,swallow (ꜥm),,,,
𓄉,F11,head and neck of animal,Throat (ḫḫ),,,,
𓄉,U+13109,head and neck of animal,know (ꜥm),,,,
𓄉,U+13109,head and neck of animal,swallow (ꜥm),,,,
𓄊,F12,head and neck of animal,Power (wsr),,,,
𓄊,U+1310A,head and neck of animal,Power (wsr),,,,
𓄋,F13,horns,open (wpj),,,,
𓄋,U+1310B,horns,open (wpj),,,,
𓄌,F13A,horns,open (wpj),,,,
𓄌,U+1310C,horns,open (wpj),,,,
𓄍,F14,horns with palm branch,opening the year (New year festival) (wp[t]-rnpt),,,,
𓄍,U+1310D,horns with palm branch,opening the year (New year festival) (wp[t]-rnpt),,,,
𓄎,F15,horns with palm branch and sun,opening the year (New year festival) (wp[t]-rnpt),,,,
𓄎,U+1310E,horns with palm branch and sun,opening the year (New year festival) (wp[t]-rnpt),,,,
𓄏,F16,horn,horn (ꜥb),,,,
𓄏,U+1310F,horn,horn (ꜥb),,,,
𓄐,F17,horn and vase from which water flows,purity (ꜥbw),,,,
𓄐,U+13110,horn and vase from which water flows,purity (ꜥbw),,,,
𓄑,F18,tusk,purity (ꜥbw),,,,
𓄑,U+13111,tusk,purity (ꜥbw),,,,
𓄒,F19,lower jaw-bone of ox,jaw (ꜥrt),,,,
𓄒,U+13112,lower jaw-bone of ox,jaw (ꜥrt),,,,
𓄓,F20,tongue,tongue (ns),,,,
𓄓,U+13113,tongue,tongue (ns),,,,
𓄔,F21,ear of bovine,Ear (msḏr),,,,
𓄔,U+13114,ear of bovine,leaf (ḏrḏ),,,,
𓄔,U+13114,ear of bovine,"hear, listen (sḏm)",,,,
𓄕,F21A,hieratic ear of bovine,Ear (msḏr),,,,
𓄕,U+13115,hieratic ear of bovine,"hear, listen (sḏm)",,,,
𓄖,F22,hind-quarters of lion,"hindquarters, back part (pḥt)",,,,
𓄖,U+13116,hind-quarters of lion,strength (pḥty),,,,
𓄗,F23,foreleg,Foreleg (ḫpš),,,,
𓄗,U+13117,of ox,power (ḫpš),,,,
𓄘,F24,F23 reversed,power (ḫpš),,,,
𓄘,U+13118,F23 reversed,power (ḫpš),,,,
𓄙,F25,leg of,Cow’s leg (wḥm),,,,
𓄙,U+13119,ox,Repeat (wḥm),,,,
𓄚,F26,skin of goat,Interior (ẖn),,,,
𓄚,U+1311A,skin of goat,Interior (ẖn),,,,
𓄛,F27,skin of cow with bent tail,"Leather, hide (dḥr)",,,,
𓄛,U+1311B,skin of cow with bent tail,"Leather, hide (dḥr)",,,,
𓄜,F28,skin of cow with straight tail,"Spotted, dappled (sꜣb)",,,,
𓄜,U+1311C,skin of cow with straight tail,"Spotted, dappled (sꜣb)",,,,
𓄝,F29,cow's skin pierced by arrow,"Shoot, ejaculate, shine (sṯj)",,,,
𓄝,U+1311D,cow's skin pierced by arrow,"Shoot, ejaculate, shine (sṯj)",,,,
𓄞,F30,water-,Save (šdj),,,,
𓄞,U+1311E,skin,Read aloud (šdj),,,,
𓄟,F31,three skins tied together,"Create, give birth (msj)",,,,
𓄟,U+1311F,three skins tied together,"Create, give birth (msj)",,,,
𓄠,F31A,three skins tied together,"Create, give birth (msj)",,,,
𓄠,U+13120,three skins tied together,"Create, give birth (msj)",,,,
𓄡,F32,animal's belly,body (ẖt),,,,
𓄡,U+13121,animal's belly,body (ẖt),,,,
𓄢,F33,tail,Tail (sd),,,,
𓄢,U+13122,tail,Tail (sd),,,,
𓄣,F34,heart,Heart (jb),,,,
𓄣,U+13123,heart,heart (ḥ3ty),,,,
𓄤,F35,heart and,"Good, beautiful, perfect, young (nfr)",,,,
𓄤,U+13124,windpipe,"Good, beautiful, perfect, young (nfr)",,,,
𓄤,U+13124,windpipe,"Good, beautiful, perfect, young (nfr)",,,,
𓄥,F36,lung and windpipe,"Unite, join (smꜣ) (smꜣ)",,,,
𓄥,U+13125,lung and windpipe,"Unite, join (smꜣ) (smꜣ)",,,,
𓄦,F37,backbone and ribs and spinal cord,"Slaughtering, massacre (šꜥt)",,,,
𓄦,U+13126,backbone and ribs and spinal cord,Back (jꜣt),,,,
𓄧,F37A,backbone and ribs,"Slaughtering, massacre (šꜥt)",,,,
𓄧,U+13127,backbone and ribs,Back (jꜣt),,,,
𓄨,F38,backbone and ribs,Back (jꜣt),,,,
𓄨,U+13128,backbone and ribs,Back (jꜣt),,,,
𓄩,F38A,backbone and ribs and spinal cord,Back (jꜣt),,,,
𓄩,U+13129,backbone and ribs and spinal cord,Back (jꜣt),,,,
𓄪,F39,backbone and spinal cord,Spinal cord (jmꜣḫ),,,,
𓄪,U+1312A,backbone and spinal cord,"Veneration, reveredness (jmꜣḫ)",,,,
𓄫,F40,backbone and spinal cords,"Be long, extend (ꜣw)",,,,
𓄫,U+1312B,backbone and spinal cords,"Be long, extend (ꜣw)",,,,
𓄫,U+1312B,backbone and spinal cords,"Be long, extend (ꜣw)",,,,
𓄫,U+1312B,backbone and spinal cords,"Be long, extend (ꜣw)",,,,
𓄫,U+1312B,backbone and spinal cords,"Be long, extend (ꜣw)",,,,
𓄫,U+1312B,backbone and spinal cords,"Be long, extend (ꜣw)",,,,
𓄬,F41,vertebrae,"Slaughtering, massacre (šꜥt)",,,,
𓄬,U+1312C,vertebrae,"Slaughtering, massacre (šꜥt)",,,,
𓄭,F42,rib,rib (spr),,,,
𓄭,U+1312D,rib,rib (spr),,,,
𓄮,F43,ribs,Beef ribs (spḥt),,,,
𓄮,U+1312E,ribs,Beef ribs (spḥt),,,,
𓄯,F44,bone with meat,reward (jsw),,,,
𓄯,U+1312F,bone with meat,"Heir, inheritor, inheritance (jwꜥ)",,,,
𓄯,U+1312F,bone with meat,Thigh bone (swt),,,,
𓄰,F45,uterus,"vulva, womb, cow (jdt)",,,,
𓄰,U+13130,uterus,"vulva, womb, cow (jdt)",,,,
𓄱,F45A,uterus,"vulva, womb, cow (jdt)",,,,
𓄱,U+13131,uterus,"vulva, womb, cow (jdt)",,,,
𓄲,F46,intestine,Turn about (pẖr),,,,
𓄲,U+13132,intestine,"Fold, turn back (wḏb)",,,,
𓄳,F46A,intestine,Turn about (pẖr),,,,
𓄳,U+13133,intestine,"Fold, turn back (wḏb)",,,,
𓄴,F47,intestine,Turn about (pẖr),,,,
𓄴,U+13134,intestine,"Fold, turn back (wḏb)",,,,
𓄵,F47A,intestine,Turn about (pẖr),,,,
𓄵,U+13135,intestine,"Fold, turn back (wḏb)",,,,
𓄶,F48,intestine,Turn about (pẖr),,,,
𓄶,U+13136,intestine,"Fold, turn back (wḏb)",,,,
𓄷,F49,intestine,Turn about (pẖr),,,,
𓄷,U+13137,intestine,"Fold, turn back (wḏb)",,,,
𓄸,F50,combination of F46 and S29,Inscribe (spẖr),,,,
𓄸,U+13138,combination of F46 and S29,Inscribe (spẖr),,,,
𓄹,F51,piece of flesh,Flesh (jwf),,,,
𓄹,U+13139,piece of flesh,Flesh (jwf),,,,
𓄺,F51A,three pieces of flesh horizontally,Flesh (jwf),,,,
𓄺,U+1313A,three pieces of flesh horizontally,Flesh (jwf),,,,
𓄻,F51B,three pieces of flesh vertically,Flesh (jwf),,,,
𓄻,U+1313B,three pieces of flesh vertically,Flesh (jwf),,,,
𓄼,F51C,F51 reversed,Flesh (jwf),,,,
𓄼,U+1313C,F51 reversed,Flesh (jwf),,,,
𓄽,F52,excrement,Excrement (ḥs),,,,
𓄽,U+1313D,excrement,Excrement (ḥs),,,,
𓄾,F53,divine rod with ram head,Excrement (ḥs),,,,
𓄾,U+1313E,divine rod with ram head,Excrement (ḥs),,,,
𓄿,G1,Egyptian vulture,0,,,,
𓄿,U+1313F,Egyptian vulture,0,,,,
𓅀,G2,two Egyptian vultures,0,,,,
𓅀,U+13140,two Egyptian vultures,0,,,,
𓅁,G3,combination of Egyptian vulture and sickle,0,,,,
𓅁,U+13141,combination of Egyptian vulture and sickle,0,,,,
𓅂,G4,buzzard,tjw,,,,
𓅂,U+13142,buzzard,tjw,,,,
𓅃,G5,falcon,Horus (ḥrw),,,,
𓅃,U+13143,falcon,God (nṯr) (Ptolemaic),,,,
𓅃,U+13143,falcon,Above (ḥry) (Ptolemaic),,,,
𓅃,U+13143,falcon,lord (nb) (Ptolemaic),,,,
𓅄,G6,combination of falcon and flaggellum,falcon (bjk),,,,
𓅄,U+13144,combination of falcon and flaggellum,Horus (ḥrw),,,,
𓅄,U+13144,combination of falcon and flaggellum,God (nṯr) (Ptolemaic),,,,
𓅄,U+13144,combination of falcon and flaggellum,lord (nb) (Ptolemaic),,,,
𓅅,G6A,falcon on basket,lord (nb) (Ptolemaic),,,,
𓅅,U+13145,falcon on basket,lord (nb) (Ptolemaic),,,,
𓅆,G7,falcon on standard,God (nṯr),,,,
𓅆,U+13146,falcon on standard,King (nswt) (Rarely),,,,
𓅇,G7A,falcon in boat,Nemty (nmty),,,,
𓅇,U+13147,falcon in boat,Nemty (nmty),,,,
𓅈,G7B,falcon in boat,Nemty (nmty),,,,
𓅈,U+13148,falcon in boat,Nemty (nmty),,,,
𓅉,G8,falcon on collar of beads,Horus/Falcon of Gold (ḥr-nbw/bjk-nbw),,,,
𓅉,U+13149,falcon on collar of beads,Horus/Falcon of Gold (ḥr-nbw/bjk-nbw),,,,
𓅊,G9,falcon with sun on head,Ra-Horus (rꜥ-ḥrw),,,,
𓅊,U+1314A,falcon with sun on head,Ra-Horus (rꜥ-ḥrw),,,,
𓅋,G10,falcon in Sokar barque,Sokar (skr),,,,
𓅋,U+1314B,falcon in Sokar barque,Henu-bark (ḥnw),,,,
𓅌,G11,image of falcon,Sopdu (spdw),,,,
𓅌,U+1314C,image of falcon,"Image (ꜥẖm, ꜥšm, ꜥḫm)",,,,
𓅌,U+1314C,image of falcon,"Falcon (gnḥsw, šnbt)",,,,
𓅍,G11A,image of falcon on standard,"Falcon (gnḥsw, šnbt)",,,,
𓅍,U+1314D,image of falcon on standard,"Falcon (gnḥsw, šnbt)",,,,
𓅎,G12,combination of image of falcon and flagellum,Sopdu (spdw),,,,
𓅎,U+1314E,combination of image of falcon and flagellum,"Image (ꜥẖm, ꜥšm, ꜥḫm)",,,,
𓅎,U+1314E,combination of image of falcon and flagellum,"Falcon (gnḥsw, šnbt)",,,,
𓅏,G13,image of falcon with two plumes,Sopdu (spdw),,,,
𓅏,U+1314F,image of falcon with two plumes,Horus of Nekhen (Hierakonpolis) (ḥrw-nḫnj),,,,
𓅐,G14,vulture,Mother (mwt),,,,
𓅐,U+13150,vulture,vulture (nrt),,,,
𓅑,G15,combination of vulture and flagellum,Mother (mwt),,,,
𓅑,U+13151,combination of vulture and flagellum,vulture (nrt),,,,
𓅑,U+13151,combination of vulture and flagellum,Mut (mwt),,,,
𓅒,G16,vulture and cobra each on a basket,Two Ladies (nbtj),,,,
𓅒,U+13152,vulture and cobra each on a basket,Two Ladies (nbtj),,,,
𓅓,G17,owl,Two Ladies (nbtj),,,,
𓅓,U+13153,owl,Two Ladies (nbtj),,,,
𓅔,G18,two owls,Two Ladies (nbtj),,,,
𓅔,U+13154,two owls,Two Ladies (nbtj),,,,
𓅕,G19,combination of owl and forearm with conical loaf,Two Ladies (nbtj),,,,
𓅕,U+13155,combination of owl and forearm with conical loaf,Two Ladies (nbtj),,,,
𓅖,G20,combination of owl and forearm,In the hand (m-ꜥ),,,,
𓅖,U+13156,combination of owl and forearm,In the hand (m-ꜥ),,,,
𓅗,G20A,combination of owl and mouth,In the hand (m-ꜥ),,,,
𓅗,U+13157,combination of owl and mouth,In the hand (m-ꜥ),,,,
𓅘,G21,guineafowl,In the hand (m-ꜥ),,,,
𓅘,U+13158,guineafowl,In the hand (m-ꜥ),,,,
𓅘,U+13158,guineafowl,In the hand (m-ꜥ),,,,
𓅙,G22,hoopoe,In the hand (m-ꜥ),,,,
𓅙,U+13159,hoopoe,In the hand (m-ꜥ),,,,
𓅚,G23,lapwing,"The common (Rekhyt-) people, subjects (rḫyt)",,,,
𓅚,U+1315A,lapwing,"The common (Rekhyt-) people, subjects (rḫyt)",,,,
𓅛,G24,lapwing with twisted wings,"The common (Rekhyt-) people, subjects (rḫyt)",,,,
𓅛,U+1315B,lapwing with twisted wings,"The common (Rekhyt-) people, subjects (rḫyt)",,,,
𓅜,G25,northern bald ibis,"Be effective, effective (Akh) spirit (ꜣḫ)",,,,
𓅜,U+1315C,northern bald ibis,"Be effective, effective (Akh) spirit (ꜣḫ)",,,,
𓅝,G26,sacred Ibis on standard,Ibis (hb),,,,
𓅝,U+1315D,sacred Ibis on standard,Thoth (ḏḥwtj),,,,
𓅞,G26A,sacred Ibis,Ibis (hb),,,,
𓅞,U+1315E,sacred Ibis,Thoth (ḏḥwtj),,,,
𓅞,U+1315E,sacred Ibis,"Excellent, skilled (jqr)",,,,
𓅞,U+1315E,sacred Ibis,"Discern, reckon (jp)",,,,
𓅟,G27,flamingo,flamingo (dšr),,,,
𓅟,U+1315F,flamingo,red (dšr),,,,
𓅠,G28,glossy ibis,"to find, discover (gmj)",,,,
𓅠,U+13160,glossy ibis,"to find, discover (gmj)",,,,
𓅡,G29,saddle-billed stork,Ba-soul (bꜣ),,,,
𓅡,U+13161,saddle-billed stork,Ba-soul (bꜣ),,,,
𓅢,G30,three saddle-billed storks,"Ba-souls; metaphorically: Power, glory, respect (bꜣw)",,,,
𓅢,U+13162,three saddle-billed storks,"Ba-souls; metaphorically: Power, glory, respect (bꜣw)",,,,
𓅣,G31,heron,Heron/Bennu-bird (bnw),,,,
𓅣,U+13163,heron,Heron/Bennu-bird (bnw),,,,
𓅤,G32,heron on perch,to inundate (bꜥḥj),,,,
𓅤,U+13164,heron on perch,to inundate (bꜥḥj),,,,
𓅥,G33,cattle egret,to tremble (sdꜣ/sdꜣdꜣ),,,,
𓅥,U+13165,cattle egret,to tremble (sdꜣ/sdꜣdꜣ),,,,
𓅦,G34,ostrich,ostrich (njw),,,,
𓅦,U+13166,ostrich,ostrich (njw),,,,
𓅧,G35,cormorant,to enter (ꜥq),,,,
𓅧,U+13167,cormorant,to enter (ꜥq),,,,
𓅨,G36,swallow,swallow (mnt),,,,
𓅨,U+13168,swallow,"great, elder (wr)",,,,
